# MJ文字情報一覧表 変体仮名編 Ver.002.01
# publisher: 文字情報技術促進協議会（IPA 文字情報基盤）
# url: https://moji.or.jp/mojikiban/mjlist/
# access: https://moji.or.jp/wp-content/mojikiban/oscdl/MJIH00201-ods.zip
# archive: MJIH00201-ods.zip, 240803 bytes, sha256 b9f8125b20ab4c5fd1fd4f860834939b463a50641668901258dc65bf4c9b3fa6
# licence: CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/)
# attribution: 文字情報基盤 MJ文字情報一覧表 変体仮名編（IPA）, CC BY-SA 2.1 JP
# columns: mj, code_point, name, jibo, jibo_code_point, readings, koseki, gakujutsu, ninjal_url, note
# ODS columns read: MJ文字図形名, font文字, 図形, CharacterName, UCS符号位置, 字母, 字母のUCS符号位置, 音価１, 音価２, 音価３, 戸籍統一文字番号, 学術用変体仮名番号, 国語研URL, 備考
# readings joins 音価１, 音価２ and 音価３ with /; note carries 備考 verbatim.
# rows: 299, with a code point: 286, without: 13
mj	code_point	name	jibo	jibo_code_point	readings	koseki	gakujutsu	ninjal_url	note
MJ090145	U+1B08C	HENTAIGANA LETTER NI-6	爾	U+723E	に	900680	220060020	https://cid.ninjal.ac.jp/kana/detail/220060020	
MJ090147	U+1B08D	HENTAIGANA LETTER NI-7	耳	U+8033	に	900710	220080010	https://cid.ninjal.ac.jp/kana/detail/220080010	
MJ090146	U+1B08E	HENTAIGANA LETTER NI-TE	而	U+800C	に/て		220070010	https://cid.ninjal.ac.jp/kana/detail/220070010	
MJ090148	U+1B08F	HENTAIGANA LETTER NU-1	努	U+52AA	ぬ	900740	230010010	https://cid.ninjal.ac.jp/kana/detail/230010010	
MJ090149	U+1B090	HENTAIGANA LETTER NU-2	奴	U+5974	ぬ	900720			
MJ090150	U+1B091	HENTAIGANA LETTER NU-3	怒	U+6012	ぬ	900730	230030010	https://cid.ninjal.ac.jp/kana/detail/230030010	
MJ090152	U+1B092	HENTAIGANA LETTER NE-1	年	U+5E74	ね	900760	240030010	https://cid.ninjal.ac.jp/kana/detail/240030010	
MJ090153	U+1B093	HENTAIGANA LETTER NE-2	年	U+5E74	ね	900770			
MJ090154	U+1B094	HENTAIGANA LETTER NE-3	年	U+5E74	ね		240030020	https://cid.ninjal.ac.jp/kana/detail/240030020	
MJ090155	U+1B095	HENTAIGANA LETTER NE-4	根	U+6839	ね	901590			
MJ090156	U+1B096	HENTAIGANA LETTER NE-5	熱	U+71B1	ね		240060010	https://cid.ninjal.ac.jp/kana/detail/240060010	
MJ090157	U+1B097	HENTAIGANA LETTER NE-6	禰	U+79B0	ね	900750	240070010	https://cid.ninjal.ac.jp/kana/detail/240070010	
MJ090151	U+1B098	HENTAIGANA LETTER NE-KO	子	U+5B50	ね/こ		240010010	https://cid.ninjal.ac.jp/kana/detail/240010010	
MJ090158	U+1B099	HENTAIGANA LETTER NO-1	乃	U+4E43	の	900780	250010010	https://cid.ninjal.ac.jp/kana/detail/250010010	
MJ090159	U+1B09A	HENTAIGANA LETTER NO-2	濃	U+6FC3	の		250020010	https://cid.ninjal.ac.jp/kana/detail/250020010	
MJ090160	U+1B09B	HENTAIGANA LETTER NO-3	能	U+80FD	の	900800	250030010	https://cid.ninjal.ac.jp/kana/detail/250030010	
MJ090161	U+1B09C	HENTAIGANA LETTER NO-4	能	U+80FD	の	900790	250030020	https://cid.ninjal.ac.jp/kana/detail/250030020	
MJ090162	U+1B09D	HENTAIGANA LETTER NO-5	農	U+8FB2	の	900810	250040010	https://cid.ninjal.ac.jp/kana/detail/250040010	
MJ090163	U+1B09E	HENTAIGANA LETTER HA-1	八	U+516B	は	900830	260010010	https://cid.ninjal.ac.jp/kana/detail/260010010	
