code_point	char	name	readings	jibo	jibo_code_point
U+1B039	𛀹	HENTAIGANA LETTER KO-2	こ	故	U+6545
U+1B03A	𛀺	HENTAIGANA LETTER KO-3	こ	許	U+8A31
U+1B03B	𛀻	HENTAIGANA LETTER KO-KI	こ/き	期	U+671F
U+1B03C	𛀼	HENTAIGANA LETTER SA-1	さ	乍	U+4E4D
U+1B03D	𛀽	HENTAIGANA LETTER SA-2	さ	佐	U+4F50
U+1B03E	𛀾	HENTAIGANA LETTER SA-3	さ	佐	U+4F50
U+1B03F	𛀿	HENTAIGANA LETTER SA-4	さ	左	U+5DE6
U+1B040	𛁀	HENTAIGANA LETTER SA-5	さ	差	U+5DEE
U+1B041	𛁁	HENTAIGANA LETTER SA-6	さ	散	U+6563
U+1B042	𛁂	HENTAIGANA LETTER SA-7	さ	斜	U+659C
U+1B043	𛁃	HENTAIGANA LETTER SA-8	さ	沙	U+6C99
U+1B044	𛁄	HENTAIGANA LETTER SI-1	し	之	U+4E4B
U+1B045	𛁅	HENTAIGANA LETTER SI-2	し	之	U+4E4B
U+1B046	𛁆	HENTAIGANA LETTER SI-3	し	事	U+4E8B
U+1B047	𛁇	HENTAIGANA LETTER SI-4	し	四	U+56DB
U+1B048	𛁈	HENTAIGANA LETTER SI-5	し	志	U+5FD7
U+1B049	𛁉	HENTAIGANA LETTER SI-6	し	新	U+65B0
U+1B04A	𛁊	HENTAIGANA LETTER SU-1	す	受	U+53D7
U+1B04B	𛁋	HENTAIGANA LETTER SU-2	す	壽	U+58FD
U+1B04C	𛁌	HENTAIGANA LETTER SU-3	す	數	U+6578
U+1B04D	𛁍	HENTAIGANA LETTER SU-4	す	數	U+6578
U+1B04E	𛁎	HENTAIGANA LETTER SU-5	す	春	U+6625
U+1B04F	𛁏	HENTAIGANA LETTER SU-6	す	春	U+6625
U+1B050	𛁐	HENTAIGANA LETTER SU-7	す	須	U+9808
U+1B051	𛁑	HENTAIGANA LETTER SU-8	す	須	U+9808
U+1B052	𛁒	HENTAIGANA LETTER SE-1	せ	世	U+4E16
U+1B053	𛁓	HENTAIGANA LETTER SE-2	せ	世	U+4E16
U+1B054	𛁔	HENTAIGANA LETTER SE-3	せ	世	U+4E16
U+1B055	𛁕	HENTAIGANA LETTER SE-4	せ	勢	U+52E2
U+1B056	𛁖	HENTAIGANA LETTER SE-5	せ	聲	U+8072
U+1B057	𛁗	HENTAIGANA LETTER SO-1	そ	所	U+6240
U+1B058	𛁘	HENTAIGANA LETTER SO-2	そ	所	U+6240
U+1B059	𛁙	HENTAIGANA LETTER SO-3	そ	曾	U+66FE
U+1B05A	𛁚	HENTAIGANA LETTER SO-4	そ	曾	U+66FE
U+1B05B	𛁛	HENTAIGANA LETTER SO-5	そ	楚	U+695A
U+1B05C	𛁜	HENTAIGANA LETTER SO-6	そ	蘇	U+8607
U+1B05D	𛁝	HENTAIGANA LETTER SO-7	そ	處	U+8655
U+1B05E	𛁞	HENTAIGANA LETTER TA-1	た	堂	U+5802
U+1B05F	𛁟	HENTAIGANA LETTER TA-2	た	多	U+591A
U+1B060	𛁠	HENTAIGANA LETTER TA-3	た	多	U+591A
U+1B061	𛁡	HENTAIGANA LETTER TA-4	た	當	U+7576
U+1B062	𛁢	HENTAIGANA LETTER TI-1	ち	千	U+5343
U+1B063	𛁣	HENTAIGANA LETTER TI-2	ち	地	U+5730
U+1B064	𛁤	HENTAIGANA LETTER TI-3	ち	智	U+667A
U+1B065	𛁥	HENTAIGANA LETTER TI-4	ち	知	U+77E5
U+1B066	𛁦	HENTAIGANA LETTER TI-5	ち	知	U+77E5
U+1B067	𛁧	HENTAIGANA LETTER TI-6	ち	致	U+81F4
U+1B068	𛁨	HENTAIGANA LETTER TI-7	ち	遲	U+9072
U+1B069	𛁩	HENTAIGANA LETTER TU-1	つ	川	U+5DDD
U+1B06A	𛁪	HENTAIGANA LETTER TU-2	つ	川	U+5DDD
U+1B06B	𛁫	HENTAIGANA LETTER TU-3	つ	津	U+6D25
U+1B06C	𛁬	HENTAIGANA LETTER TU-4	つ	都	U+90FD
U+1B06D	𛁭	HENTAIGANA LETTER TU-TO	つ/と	徒	U+5F92
U+1B06E	𛁮	HENTAIGANA LETTER TE-1	て	亭	U+4EAD
U+1B06F	𛁯	HENTAIGANA LETTER TE-2	て	低	U+4F4E
U+1B070	𛁰	HENTAIGANA LETTER TE-3	て	傳	U+50B3
U+1B071	𛁱	HENTAIGANA LETTER TE-4	て	天	U+5929
U+1B072	𛁲	HENTAIGANA LETTER TE-5	て	天	U+5929
U+1B073	𛁳	HENTAIGANA LETTER TE-6	て	天	U+5929
